Model,ModelSize,OpenSource,TextVQA,POPE,AI2D,ChartQA,ScienceQA,MMMU,MMBench,MathVista,AverageScore
Claude3-Sonnet,,No,N/A,68.2,69.9,N/A,N/A,47.4,67.8,45.0,59.660000000000004
Claude3.5-Sonnet,,No,N/A,73.6,80.2,N/A,88.9,65.9,79.7,61.6,74.98333333333333
Claude3-Opus,,No,N/A,74.0,70.6,N/A,N/A,54.9,63.3,45.8,61.720000000000006
GLM-4v,,No,N/A,89.9,76.1,N/A,97.4,45.6,81.3,45.6,72.65
CongRong,,No,N/A,86.6,82.4,N/A,95.9,48.3,82.8,61.0,76.16666666666667
LLaVA-v1-7B,7.2B,Yes,N/A,75.9,48.3,N/A,61.8,34.1,43.8,25.2,48.18333333333333
LLaVA-v1.5-7B,7.2B,Yes,45.5,86.1,55.5,17.8,69.2,35.7,66.5,25.6,50.237500000000004
LLaVA-v1.5-13B,13.4B,Yes,48.9,88.4,61.1,18.2,72.6,37.0,69.2,27.7,52.887499999999996
LLaVA-InternLM-7B (QLoRA),7.6B,Yes,45.8,86.0,58.0,15.8,68.4,36.9,69.0,27.1,50.875
LLaVA-v1.5-7B (QLoRA),7.2B,Yes,49.7,87.2,55.9,18.7,68.7,33.7,67.7,25.1,50.8375
LLaVA-v1.5-13B (QLoRA),13.4B,Yes,50.7,86.9,61.3,19.0,70.3,35.2,68.8,27.6,52.47500000000001
LLaVA-LLaMA-3-8B,8B,Yes,52.0,87.3,69.9,50.4,72.2,39.2,71.7,40.0,60.3375
LLaVA-InternLM2-7B (QLoRA),8.1B,Yes,49.3,87.8,63.6,16.0,73.7,40.1,73.3,26.0,53.725
LLaVA-InternLM2-20B (QLoRA),20.2B,Yes,50.4,88.1,65.4,17.6,73.7,39.4,75.1,25.3,54.37499999999999
LLaVA-Next-Vicuna-7B,7.1B,Yes,64.4,87.5,67.0,55.4,70.3,37.6,69.2,31.5,60.362500000000004
LLaVA-Next-Mistral-7B,7.6B,Yes,65.2,87.3,69.0,51.8,73.0,37.0,69.6,34.6,60.9375
LLaVA-Next-Vicuna-13B,13.4B,Yes,66.9,87.8,72.2,61.4,73.7,37.3,70.0,34.1,62.925
LLaVA-Next-Yi-34B,34.8B,Yes,69.3,89.6,78.9,67.6,82.0,48.8,81.1,40.4,69.71249999999999
LLaVA-Next-Llama3,8B,Yes,52.8,79.3,68.7,42.7,73.9,38.4,71.2,33.6,57.574999999999996
LLaVA-Next-Interleave-7B-DPO,8B,Yes,56.7,84.2,74.0,49.1,72.7,41.8,75.9,35.5,61.2375
360VL-70B,70B,Yes,N/A,87.3,71.9,N/A,87.4,53.4,78.8,38.0,69.46666666666667
mPLUG-Owl2,8.2B,Yes,56.4,84.6,55.7,22.8,69.5,34.7,66.0,25.4,51.887499999999996
WeMM,7B,Yes,N/A,86.7,77.9,N/A,83.3,45.3,79.3,54.9,71.23333333333333
Phi-3-Vision,4.2B,Yes,72.4,83.7,78.4,81.8,90.0,46.1,73.6,44.6,71.325
